Wavelength (nm)	L01 abs e
220.00	3782.2
220.25	3797.8
220.50	3789.1
220.75	3767.5
221.00	3775.9
221.25	3733.7
221.50	3727.6
221.75	3767.8
222.00	3761.6
222.25	3783.9
222.50	3778.3
222.75	3822.5
223.00	3839.1
223.25	3860.5
223.50	3865.4
223.75	3901.6
224.00	3906.7
224.25	3891.9
224.50	3928.1
224.75	3926.7
225.00	3964.7
225.25	3979.6
225.50	4031.6
225.75	4035.5
226.00	4094.3
226.25	4109.9
226.50	4098.7
226.75	4093.7
227.00	4134.4
227.25	4171.2
227.50	4209.8
227.75	4235.9
228.00	4241.0
228.25	4301.4
228.50	4333.7
228.75	4364.7
229.00	4400.8
229.25	4433.8
229.50	4480.2
229.75	4486.6
230.00	4533.9
230.25	4589.7
230.50	4587.6
230.75	4671.0
231.00	4699.7
231.25	4725.6
231.50	4788.6
231.75	4837.5
232.00	4860.1
232.25	4947.6
232.50	4971.6
232.75	5010.6
233.00	5050.4
233.25	5081.7
233.50	5132.7
233.75	5212.5
234.00	5247.3
234.25	5321.8
234.50	5348.0
234.75	5425.2
235.00	5513.4
235.25	5554.4
235.50	5643.8
235.75	5692.5
236.00	5752.0
236.25	5790.8
236.50	5889.1
236.75	5943.5
237.00	6011.3
237.25	6070.6
237.50	6147.8
237.75	6194.6
238.00	6278.7
238.25	6323.4
238.50	6364.3
238.75	6416.8
239.00	6478.1
239.25	6558.8
239.50	6598.7
239.75	6700.3
240.00	6726.5
240.25	6786.2
240.50	6846.5
240.75	6913.2
241.00	6985.5
241.25	7011.9
241.50	7072.9
241.75	7133.2
242.00	7202.6
242.25	7244.2
242.50	7306.3
242.75	7295.8
243.00	7382.6
243.25	7466.3
243.50	7549.6
243.75	7557.7
244.00	7612.7
244.25	7650.7
244.50	7687.4
244.75	7735.7
245.00	7800.4
245.25	7826.0
245.50	7860.7
245.75	7920.7
246.00	7962.3
246.25	7978.0
246.50	8015.2
246.75	8056.5
247.00	8067.5
247.25	8124.5
247.50	8149.6
247.75	8166.5
248.00	8227.3
248.25	8240.9
248.50	8227.5
248.75	8225.9
249.00	8270.3
249.25	8308.9
249.50	8332.0
249.75	8311.3
250.00	8359.8
250.25	8360.1
250.50	8345.2
250.75	8333.5
251.00	8332.7
251.25	8351.3
251.50	8340.4
251.75	8373.7
252.00	8336.6
252.25	8368.8
252.50	8335.4
252.75	8309.4
253.00	8287.0
253.25	8275.7
253.50	8269.9
253.75	8277.5
254.00	8274.1
254.25	8227.8
254.50	8164.7
254.75	8188.9
255.00	8147.8
255.25	8117.1
255.50	8070.9
255.75	8088.4
256.00	8032.1
256.25	8024.1
256.50	7981.9
256.75	7966.8
257.00	7878.8
257.25	7893.3
257.50	7832.4
257.75	7794.4
258.00	7719.0
258.25	7700.0
258.50	7677.8
258.75	7621.7
259.00	7559.9
259.25	7496.0
259.50	7466.3
259.75	7466.6
260.00	7411.2
260.25	7365.7
260.50	7345.4
260.75	7298.8
261.00	7223.1
261.25	7192.3
261.50	7103.3
261.75	7131.0
262.00	7035.3
262.25	7001.1
262.50	6959.2
262.75	6944.4
263.00	6866.6
263.25	6850.1
263.50	6812.6
263.75	6778.4
264.00	6711.0
264.25	6693.0
264.50	6629.3
264.75	6590.7
265.00	6542.6
265.25	6466.2
265.50	6428.0
265.75	6393.6
266.00	6347.4
266.25	6292.2
266.50	6262.2
266.75	6226.2
267.00	6161.5
267.25	6099.1
267.50	6043.5
267.75	5984.2
