Wavelength (nm)	L03 abs e
220.00	17396
220.25	16823
220.50	16357
220.75	15675
221.00	15333
221.25	14847
221.50	14335
221.75	13910
222.00	13377
222.25	13262
222.50	12771
222.75	12439
223.00	12110
223.25	11763
223.50	11361
223.75	11186
224.00	10859
224.25	10634
224.50	10472
224.75	10295
225.00	9915.7
225.25	9847.4
225.50	9652.7
225.75	9491.7
226.00	9314.1
226.25	9195.1
226.50	8985.3
226.75	9007.2
227.00	8818.7
227.25	8636.3
227.50	8597.2
227.75	8419.1
228.00	8459.9
228.25	8327.6
228.50	8237.3
228.75	8305.6
229.00	8144.5
229.25	8148.2
229.50	8090.2
229.75	8110.3
230.00	7900.5
230.25	7902.9
230.50	7971.9
230.75	7935.9
231.00	7872.4
231.25	7850.4
231.50	7805.9
231.75	7705.2
232.00	7760.1
232.25	7762.0
232.50	7818.7
232.75	7807.1
233.00	7762.0
233.25	7793.1
233.50	7874.8
233.75	7912.1
234.00	7885.2
234.25	7895.6
234.50	7972.5
234.75	8024.9
235.00	8047.5
235.25	8107.9
235.50	8235.4
235.75	8361.7
236.00	8388.0
236.25	8405.0
236.50	8513.0
236.75	8539.3
237.00	8718.6
237.25	8843.7
237.50	8920.6
237.75	9040.8
238.00	9101.8
238.25	9217.1
238.50	9321.4
238.75	9518.5
239.00	9642.4
239.25	9686.9
239.50	9871.2
239.75	10022
240.00	10111
240.25	10409
240.50	10498
240.75	10539
241.00	10760
241.25	11008
241.50	10975
241.75	11307
242.00	11428
242.25	11514
242.50	11655
242.75	11783
243.00	12132
243.25	12228
243.50	12407
243.75	12542
244.00	12689
244.25	12720
244.50	13034
244.75	13194
245.00	13225
245.25	13355
245.50	13575
245.75	13656
246.00	13828
246.25	13871
246.50	13985
246.75	14116
247.00	14287
247.25	14452
247.50	14546
247.75	14597
248.00	14638
248.25	14657
248.50	14739
248.75	14572
249.00	14808
249.25	14634
249.50	14742
249.75	14672
250.00	14636
250.25	14676
250.50	14622
250.75	14464
251.00	14589
251.25	14298
251.50	14284
251.75	14188
252.00	14008
252.25	13902
252.50	13670
252.75	13673
253.00	13535
253.25	13379
253.50	13199
253.75	13105
254.00	12905
254.25	12871
254.50	12812
254.75	12550
255.00	12389
255.25	12407
255.50	12130
255.75	12044
256.00	11837
256.25	11712
256.50	11440
256.75	11395
257.00	11223
257.25	11129
257.50	10892
257.75	10627
258.00	10619
258.25	10426
258.50	10436
258.75	10382
259.00	10081
259.25	9956.0
259.50	9784.5
259.75	9785.7
260.00	9641.8
260.25	9370.2
260.50	9393.4
260.75	9222.0
261.00	9164.6
261.25	8954.8
261.50	8937.1
261.75	8915.7
262.00	8762.0
262.25	8584.4
262.50	8641.8
262.75	8580.1
263.00	8512.4
263.25	8438.0
263.50	8253.7
263.75	8233.6
264.00	8176.2
264.25	8076.8
264.50	7967.0
264.75	7843.1
265.00	7898.0
265.25	7805.3
265.50	7726.6
265.75	7627.1
266.00	7826.0
266.25	7680.2
266.50	7550.3
266.75	7674.1
267.00	7545.4
267.25	7557.0
267.50	7232.4
267.75	7312.3
268.00	7311.1
268.25	7267.8
268.50	7276.3
268.75	7258.6
269.00	7223.8
269.25	7129.9
269.50	7187.8
269.75	7036.5
270.00	7114.0
270.25	7068.3
270.50	6979.8
270.75	7086.0
271.00	6958.4
271.25	6938.9
271.50	7029.2
271.75	6957.2
272.00	6957.8
272.25	6974.9
272.50	6857.2
272.75	6961.5
273.00	6915.1
273.25	6843.1
273.50	6881.0
273.75	6970.0
274.00	6857.2
274.25	6906.6
274.50	6983.5
274.75	7029.8
275.00	6942.6
275.25	7052.4
275.50	6957.8
275.75	6966.4
276.00	7037.1
276.25	7007.2
276.50	7056.1
276.75	7093.3
277.00	7114.0
277.25	7214.1
277.50	7243.4
277.75	7205.5
278.00	7317.2
278.25	7342.2
278.50	7344.6
278.75	7388.0
279.00	7542.9
279.25	7591.1
279.50	7561.8
279.75	7646.0
280.00	7666.8
280.25	7775.4
280.50	7730.9
280.75	7794.9
281.00	7850.4
281.25	7954.2
281.50	8004.2
281.75	8103.6
282.00	8121.9
282.25	8094.5
282.50	8227.5
282.75	8430.1
283.00	8444.7
283.25	8527.7
283.50	8582.0
283.75	8583.2
284.00	8718.6
284.25	8932.2
284.50	8873.0
284.75	9001.7
285.00	9013.3
285.25	8954.1
285.50	9104.2
285.75	9490.4
286.00	9427.6
286.25	9572.2
286.50	9622.8
286.75	9823.6
287.00	9940.1
287.25	10062
287.50	10216
287.75	10332
288.00	10329
288.25	10511
288.50	10597
288.75	10660
289.00	10828
289.25	10977
289.50	11128
289.75	11231
290.00	11313
290.25	11500
290.50	11642
290.75	11903
291.00	11946
291.25	12040
291.50	12245
291.75	12245
292.00	12575
292.25	12709
292.50	12957
292.75	13129
293.00	13363
293.25	13455
293.50	13511
293.75	13630
294.00	13855
294.25	13881
294.50	14029
294.75	14115
295.00	14214
295.25	14267
295.50	14421
295.75	14740
296.00	14753
296.25	14989
296.50	15158
296.75	15343
297.00	15411
297.25	15427
297.50	15710
297.75	15733
298.00	16115
298.25	16030
298.50	16158
298.75	16293
299.00	16505
299.25	16553
299.50	16698
299.75	16645
300.00	16813
300.25	16930
300.50	16940
300.75	16935
301.00	17008
301.25	16991
301.50	17151
301.75	17174
302.00	17177
302.25	17155
302.50	17291
302.75	17167
303.00	17322
303.25	17249
303.50	17194
303.75	17116
304.00	17067
304.25	17044
304.50	16872
304.75	16809
305.00	16881
305.25	16827
305.50	16806
305.75	16603
306.00	16562
306.25	16358
306.50	16213
306.75	16127
307.00	15902
307.25	15644
307.50	15459
307.75	15452
308.00	15133
308.25	14974
308.50	14913
308.75	14517
309.00	14341
309.25	14112
309.50	13914
309.75	13728
310.00	13516
310.25	12844
310.50	13427
310.75	13099
311.00	12345
311.25	12529
311.50	12648
311.75	12018
312.00	11487
312.25	11262
312.50	11352
312.75	10811
313.00	10902
313.25	10349
313.50	10404
313.75	9937.1
314.00	10002
314.25	9579.5
314.50	9533.8
314.75	9045.7
315.00	8730.8
315.25	8506.3
315.50	8564.3
315.75	8349.5
316.00	8040.8
316.25	7804.7
316.50	7737.0
316.75	7635.1
317.00	7071.3
317.25	7078.6
317.50	6840.1
317.75	6506.9
318.00	6829.1
318.25	6446.5
318.50	6400.8
318.75	6589.3
319.00	6053.0
319.25	5846.2
319.50	5860.8
319.75	5533.8
320.00	5652.2
320.25	5776.0
320.50	5591.8
320.75	5179.9
321.00	5330.0
321.25	5378.8
321.50	5106.7
