Wavelength (nm)	L02 abs e
220.00	18269
220.25	18384
220.50	17606
220.75	17020
221.00	17617
221.25	16930
221.50	16906
221.75	15769
222.00	15506
222.25	14965
222.50	15225
222.75	15570
223.00	14928
223.25	15155
223.50	14265
223.75	14187
224.00	14187
224.25	13431
224.50	13859
224.75	13736
225.00	12620
225.25	12657
225.50	13143
225.75	12621
226.00	12433
226.25	12881
226.50	12666
226.75	12331
227.00	12269
227.25	12170
227.50	11815
227.75	11702
228.00	12055
228.25	12343
228.50	11898
228.75	12005
229.00	12162
229.25	11519
229.50	11101
229.75	11569
230.00	11686
230.25	11612
230.50	11880
230.75	11635
231.00	11344
231.25	11255
231.50	11208
231.75	11926
232.00	11656
232.25	11555
232.50	10928
232.75	11489
233.00	10638
233.25	11505
233.50	11356
233.75	11729
234.00	11123
234.25	11207
234.50	11444
234.75	11246
235.00	11096
235.25	11225
235.50	11167
235.75	10772
236.00	10490
236.25	10764
236.50	10674
236.75	11551
237.00	10838
237.25	11388
237.50	11467
237.75	11092
238.00	11677
238.25	10861
238.50	10689
238.75	11145
239.00	10961
239.25	11155
239.50	11298
239.75	10305
240.00	10752
240.25	11219
240.50	10875
240.75	10993
241.00	11054
241.25	11052
241.50	11476
241.75	10588
242.00	10752
242.25	10765
242.50	11074
242.75	11308
243.00	10934
243.25	11008
243.50	10783
243.75	11006
244.00	10999
244.25	11148
244.50	10597
244.75	11135
245.00	10491
245.25	11139
245.50	10892
245.75	10932
246.00	10482
246.25	10908
246.50	11206
246.75	10957
247.00	10877
247.25	10522
247.50	10956
247.75	10931
248.00	10931
248.25	11186
248.50	10340
248.75	10232
249.00	10872
249.25	10824
249.50	10545
249.75	10864
250.00	10941
250.25	10283
250.50	10838
250.75	10896
251.00	10679
251.25	10693
251.50	10266
251.75	10735
252.00	10414
252.25	10204
252.50	10365
252.75	9999.5
253.00	10487
253.25	10020
253.50	10400
253.75	10294
254.00	10069
254.25	10288
254.50	9953.8
254.75	10285
255.00	10170
255.25	10737
255.50	10244
255.75	10401
256.00	10346
256.25	10241
256.50	9540.9
256.75	9727.1
257.00	10184
257.25	9910.1
257.50	9806.1
257.75	9931.9
258.00	9220.7
258.25	9135.4
258.50	9430.7
258.75	9454.6
259.00	9060.5
259.25	9191.5
259.50	8762.1
259.75	9501.4
260.00	9343.4
260.25	9049.1
260.50	9395.4
260.75	9333.0
261.00	8663.3
261.25	8371.1
261.50	8737.1
261.75	9079.2
262.00	8817.2
262.25	8494.8
262.50	8204.7
262.75	8748.5
263.00	8182.9
263.25	8168.3
263.50	8522.9
263.75	8262.9
264.00	8743.3
264.25	8588.4
264.50	8630.0
264.75	8143.3
265.00	8015.4
265.25	8453.2
265.50	8278.5
265.75	8129.8
266.00	8327.4
266.25	7509.0
266.50	7714.9
266.75	7893.8
267.00	8267.1
267.25	8178.7
267.50	7954.1
267.75	7787.7
268.00	8019.6
268.25	8212.0
268.50	8228.6
268.75	7893.8
269.00	8526.0
269.25	8156.9
269.50	8160.0
269.75	8027.9
270.00	8649.8
270.25	8109.0
270.50	8157.9
270.75	8061.2
271.00	8347.2
271.25	8184.9
271.50	7917.7
271.75	8608.2
272.00	8477.1
272.25	8415.8
272.50	8371.1
272.75	8342.0
273.00	7987.4
273.25	7856.3
273.50	8659.1
273.75	9001.2
274.00	8812.0
274.25	8553.1
274.50	8862.9
274.75	8648.7
275.00	8527.1
275.25	8449.1
275.50	9042.8
275.75	8554.1
276.00	8458.4
276.25	9197.8
276.50	8832.8
276.75	9214.4
277.00	9566.9
277.25	9794.7
277.50	9459.8
277.75	9409.9
278.00	9185.3
278.25	9844.6
278.50	8688.2
278.75	9290.3
279.00	9315.3
279.25	10006
279.50	9343.4
279.75	9311.1
280.00	9169.7
280.25	9610.6
280.50	9644.9
280.75	10008
281.00	9835.2
281.25	9625.2
281.50	9886.2
281.75	9889.3
282.00	10188
282.25	9904.9
282.50	10094
282.75	9442.2
283.00	10225
283.25	10295
283.50	10130
283.75	10005
284.00	10996
284.25	9986.0
284.50	10340
284.75	10824
285.00	10357
285.25	10313
285.50	10631
285.75	10093
286.00	10433
286.25	10334
286.50	10644
286.75	10742
287.00	10385
287.25	11015
287.50	10567
287.75	10479
288.00	10817
288.25	11069
288.50	11291
288.75	10813
289.00	10710
289.25	10865
289.50	11179
289.75	10619
290.00	11533
290.25	10783
290.50	11236
290.75	11539
291.00	11109
291.25	11170
291.50	10419
291.75	11117
292.00	11710
292.25	11971
292.50	11581
292.75	12036
293.00	11627
293.25	11734
293.50	11731
293.75	11854
294.00	12190
294.25	12037
294.50	11623
294.75	12030
295.00	12191
295.25	11847
295.50	11415
295.75	12069
296.00	12209
296.25	12468
296.50	11938
296.75	12266
297.00	12956
297.25	12134
297.50	12797
297.75	12695
298.00	11997
298.25	12745
298.50	12545
298.75	12603
299.00	12594
299.25	12800
299.50	12656
299.75	13249
300.00	12909
300.25	12811
300.50	12952
300.75	12983
301.00	13102
301.25	13610
301.50	13043
301.75	13804
302.00	13304
302.25	13267
302.50	13493
302.75	13653
303.00	13928
303.25	13471
303.50	13134
303.75	13543
304.00	14341
304.25	14009
304.50	14007
304.75	13741
305.00	14172
305.25	14013
305.50	14507
305.75	14381
306.00	13804
306.25	14035
306.50	14240
306.75	14305
307.00	14851
307.25	14365
307.50	14481
307.75	14714
308.00	14812
