Wavelength (nm)	I12 abs e
200.0	5621.7
201.0	5737.0
202.0	5436.9
203.0	4929.5
204.0	4650.5
205.0	4410.8
206.0	4184.1
207.0	3984.1
208.0	3870.4
209.0	3744.3
210.0	3635.5
211.0	3569.2
212.0	3471.8
213.0	3413.2
214.0	3375.7
215.0	3343.5
216.0	3324.2
217.0	3320.1
218.0	3311.6
219.0	3313.7
220.0	3334.0
221.0	3354.5
222.0	3394.8
223.0	3453.2
224.0	3516.7
225.0	3584.5
226.0	3651.9
227.0	3713.6
228.0	3763.6
229.0	3809.4
230.0	3852.3
231.0	3914.4
232.0	4001.1
233.0	4112.3
234.0	4269.9
235.0	4467.1
236.0	4693.1
237.0	4946.0
238.0	5232.4
239.0	5526.0
240.0	5831.8
241.0	6137.9
242.0	6442.5
243.0	6747.1
244.0	7018.7
245.0	7205.6
246.0	7243.3
247.0	7106.8
248.0	6808.2
249.0	6413.0
250.0	5985.2
251.0	5569.3
252.0	5203.9
253.0	4894.1
254.0	4639.4
255.0	4436.0
256.0	4267.8
257.0	4140.3
258.0	4048.5
259.0	3983.5
260.0	3966.5
261.0	3999.0
262.0	4088.9
263.0	4227.3
264.0	4399.8
265.0	4622.4
266.0	4863.6
267.0	5124.3
268.0	5387.5
269.0	5679.3
270.0	5964.5
271.0	6272.8
272.0	6614.5
273.0	6984.6
274.0	7409.5
275.0	7882.1
276.0	8399.1
277.0	8965.4
278.0	9553.2
279.0	10172
280.0	10814
281.0	11453
282.0	12079
283.0	12708
284.0	13366
285.0	14045
286.0	14770
287.0	15506
288.0	16286
289.0	16997
290.0	17615
291.0	18023
292.0	18168
293.0	18036
294.0	17622
295.0	16940
296.0	16017
297.0	14944
298.0	13794
299.0	12611
300.0	11456
301.0	10362
302.0	9342.6
303.0	8373.4
304.0	7493.8
305.0	6714.9
306.0	6048.2
307.0	5466.1
308.0	5018.0
309.0	4653.2
310.0	4361.3
311.0	4150.2
312.0	3995.6
313.0	3870.6
314.0	3752.4
315.0	3664.9
316.0	3596.5
317.0	3529.4
318.0	3482.4
319.0	3436.7
320.0	3418.3
321.0	3401.3
322.0	3419.3
323.0	3416.1
324.0	3424.9
325.0	3386.7
326.0	3342.3
327.0	3279.7
328.0	3179.7
